n,algoritmo,tempo_medio,tempo_std
5,guloso,3.819999983534217e-06,1.316662389632819e-06
5,forca_bruta,1.1259999996582338e-05,5.255891904086521e-06
5,pd_memo,4.810000041288731e-06,1.3269890764100793e-06
7,guloso,2.9400000130408445e-06,9.901514687723223e-07
7,forca_bruta,3.4570000002531744e-05,4.4786270157966904e-06
7,pd_memo,7.1699999807606215e-06,1.8509727197434253e-06
9,guloso,5.199999986871262e-06,4.870934217734662e-06
9,forca_bruta,0.0001324499999782347,4.899846900800205e-06
9,pd_memo,9.099999965656025e-06,9.98999524972117e-07
11,guloso,4.489999992074445e-06,1.1510430043771546e-06
11,forca_bruta,0.0005629400000316309,4.555375280795407e-05
11,pd_memo,1.2789999959750276e-05,2.2700000110113185e-06
13,guloso,5.51000000541535e-06,1.4570175076308943e-06
13,forca_bruta,0.0021332999999685853,5.4812443793099806e-05
13,pd_memo,1.536999998279498e-05,1.618672294063604e-06
15,guloso,6.660000008196221e-06,1.807871676246752e-06
15,forca_bruta,0.00833247000002757,0.00027727799064307103
15,pd_memo,1.9799999995484542e-05,3.1285779320493655e-06
17,guloso,8.219999995162652e-06,2.39991666509152e-06
17,forca_bruta,0.03368114999998397,0.00029679865646715616
17,pd_memo,2.314999994723621e-05,2.1629840396541387e-06
19,guloso,9.240000031240924e-06,2.5989228878668636e-06
19,forca_bruta,0.1337841699999899,0.0014961186537738507
19,pd_memo,2.7419999992162047e-05,2.4814511999746634e-06
21,guloso,1.3249999960862624e-05,3.7823934013541852e-06
21,forca_bruta,0.5419192099999464,0.0062892697382791645
21,pd_memo,3.520999994179874e-05,5.971674798507034e-06
10,guloso,4.959999978382257e-06,1.5900943747638649e-06
10,pd_memo,1.588000004630885e-05,1.184736237037004e-06
35,guloso,2.781000000595668e-05,8.836113330608954e-06
35,pd_memo,0.000153279999994993,3.685139886571769e-05
61,guloso,6.964999995489052e-05,2.12890229774484e-05
61,pd_memo,0.0003799300000309813,5.426610332136117e-06
87,guloso,0.00013226000003214723,4.690795670418028e-05
87,pd_memo,0.0008868799999845578,6.727498492130839e-05
113,guloso,0.0002166699999861521,7.67552740786748e-05
113,pd_memo,0.0014476499999773295,5.015675931885342e-05
138,guloso,0.0003148000000237516,0.00011429046330724033
138,pd_memo,0.00217185999999856,5.410044731166069e-05
164,guloso,0.00045042000003832073,0.00014508172732012416
164,pd_memo,0.00301473999998052,0.00012954300596374111
190,guloso,0.0005449099999623285,0.00019802544005591022
190,pd_memo,0.0040541799999800785,0.00010846510777732882
216,guloso,0.000726449999910983,0.0002634617666534888
216,pd_memo,0.005285439999988739,0.00015022507249574685
242,guloso,0.000985320000017964,0.00030055258039231645
242,pd_memo,0.006718269999987569,0.00016134131557222835
267,guloso,0.0010695999999597917,0.00040675288073864887
267,pd_memo,0.008119939999983217,9.712593057392387e-05
293,guloso,0.001332939999952032,0.0004920580457785264
293,pd_memo,0.009913790000041445,0.00022554309768339423
319,guloso,0.001569550000021991,0.0005633665419065901
319,pd_memo,0.011859059999983402,0.0003441971272407624
345,guloso,0.0018222399999785921,0.0006511316367514737
345,pd_memo,0.013839189999953306,0.00027815336943927925
371,guloso,0.002099559999987832,0.0007762285142902743
371,pd_memo,0.01637287000003198,0.0005391455426007147
396,guloso,0.0025117999999565654,0.0008850565540882936
396,pd_memo,0.018809379999993325,0.0005260622202604879
422,guloso,0.00274590999999873,0.0009998164255950884
422,pd_memo,0.021076979999975265,0.00015644488995930901
448,guloso,0.003107810000028621,0.0011598351998718258
448,pd_memo,0.024353170000017597,0.0009029889036773392
474,guloso,0.0036392999999861784,0.0013269031110422172
474,pd_memo,0.026932889999989128,0.0006129634809006999
500,guloso,0.003947250000032909,0.0013770020458811938
500,pd_memo,0.029825960000016492,0.0005779283558096657
